seq_length,total_experiment_time,valid_loss_best,avg_train_time_per_epoch,avg_inference_time,test_mae_avg,test_mape_avg,test_rmse_avg,horizon_1_mae,horizon_1_mape,horizon_1_rmse,horizon_2_mae,horizon_2_mape,horizon_2_rmse,horizon_3_mae,horizon_3_mape,horizon_3_rmse,horizon_4_mae,horizon_4_mape,horizon_4_rmse,horizon_5_mae,horizon_5_mape,horizon_5_rmse,horizon_6_mae,horizon_6_mape,horizon_6_rmse,horizon_7_mae,horizon_7_mape,horizon_7_rmse,horizon_8_mae,horizon_8_mape,horizon_8_rmse,horizon_9_mae,horizon_9_mape,horizon_9_rmse,horizon_10_mae,horizon_10_mape,horizon_10_rmse,horizon_11_mae,horizon_11_mape,horizon_11_rmse,horizon_12_mae,horizon_12_mape,horizon_12_rmse
6,98.52404928207397,0.01195500128600396,43.830135226249695,2.4852885007858276,0.01312353031244129,0.042307497933506966,0.028713634858528774,0.005225159227848053,0.018011515960097313,0.014779916033148766,0.006913880351930857,0.02322048880159855,0.017760248854756355,0.008301774971187115,0.027572184801101685,0.019879041239619255,0.009599132463335991,0.03158742934465408,0.021974803879857063,0.011299620382487774,0.036694929003715515,0.025459049269557,0.012760300189256668,0.04115258529782295,0.028253963217139244,0.01405762042850256,0.04504412040114403,0.030632924288511276,0.015317537821829319,0.04889329895377159,0.03281490504741669,0.016720278188586235,0.05333421006798744,0.03526909276843071,0.01795060932636261,0.057105835527181625,0.037409521639347076,0.019108833745121956,0.06074707582592964,0.03931374102830887,0.020227616652846336,0.06432630121707916,0.041016411036252975
12,95.9204568862915,0.011652920266431032,42.92865073680878,2.3846492767333984,0.012813081576799354,0.0414275856067737,0.028181058975557487,0.005550520960241556,0.018875494599342346,0.015689600259065628,0.00689035514369607,0.02312389202415943,0.018209442496299744,0.008096074685454369,0.026895105838775635,0.020085550844669342,0.009312747977674007,0.03066655434668064,0.02191084250807762,0.010964518412947655,0.035736460238695145,0.02505451627075672,0.012364325113594532,0.040012575685977936,0.027596818283200264,0.013651181943714619,0.04391993582248688,0.029821082949638367,0.014900638721883297,0.04783990606665611,0.031847137957811356,0.016240132972598076,0.05194869264960289,0.034173935651779175,0.017469068989157677,0.055840570479631424,0.036161862313747406,0.018609385937452316,0.059398453682661057,0.03798056021332741,0.019708028063178062,0.06287338584661484,0.0396413579583168
48,91.39958024024963,0.011716133650327941,40.78655421733856,2.279247283935547,0.012908121881385645,0.04120470071211457,0.02844903020498653,0.0052664936520159245,0.017781756818294525,0.015174009837210178,0.0068274191580712795,0.0226527601480484,0.017926836386322975,0.008124088868498802,0.026655038818717003,0.019903944805264473,0.009406745433807373,0.030493315309286118,0.02196710929274559,0.011086049489676952,0.03559451922774315,0.025270802900195122,0.012528298422694206,0.039993349462747574,0.02796751633286476,0.013821635395288467,0.043904196470975876,0.03024756908416748,0.015072270296514034,0.04772447422146797,0.03237010911107063,0.0164411049336195,0.051967039704322815,0.03474662825465202,0.017664451152086258,0.05576910823583603,0.0368194654583931,0.018792644143104553,0.05929528549313545,0.03865019604563713,0.01986626163125038,0.06262556463479996,0.040344174951314926
96,99.40516209602356,0.011829482436165814,44.33293950557709,2.476792335510254,0.013004527698891858,0.04216164986913403,0.028531083759541314,0.005237712524831295,0.018465880304574966,0.014706178568303585,0.006864071357995272,0.02347351424396038,0.017672548070549965,0.008166423067450523,0.027481283992528915,0.01969166100025177,0.0094542121514678,0.031356330960989,0.02178221382200718,0.011170023120939732,0.03654894605278969,0.025277286767959595,0.012624867260456085,0.04095076024532318,0.028077958151698112,0.013936386443674564,0.044885147362947464,0.0304285679012537,0.015198917128145695,0.04872295632958412,0.03262000530958176,0.01658543571829796,0.05299593508243561,0.03508153185248375,0.017814477905631065,0.056809138506650925,0.0371900349855423,0.018953094258904457,0.06036420911550522,0.039062708616256714,0.020048711448907852,0.06388569623231888,0.04078231006860733
