dataset,seq_length,num_nodes,num_features,time_interval,total_experiment_time,valid_loss_best,avg_train_time_per_epoch,avg_inference_time,test_mae_avg,test_mape_avg,test_rmse_avg,horizon_1_mae,horizon_1_mape,horizon_1_rmse,horizon_2_mae,horizon_2_mape,horizon_2_rmse,horizon_3_mae,horizon_3_mape,horizon_3_rmse,horizon_4_mae,horizon_4_mape,horizon_4_rmse,horizon_5_mae,horizon_5_mape,horizon_5_rmse,horizon_6_mae,horizon_6_mape,horizon_6_rmse,horizon_7_mae,horizon_7_mape,horizon_7_rmse,horizon_8_mae,horizon_8_mape,horizon_8_rmse,horizon_9_mae,horizon_9_mape,horizon_9_rmse,horizon_10_mae,horizon_10_mape,horizon_10_rmse,horizon_11_mae,horizon_11_mape,horizon_11_rmse,horizon_12_mae,horizon_12_mape,horizon_12_rmse
FRANCE,6,10,10,1H,15.02816653251648,0.013520415191753553,12.52185869216919,0.6488618850708008,0.013903761398978531,0.09437586677571137,0.02734227237912516,0.005572300869971514,0.03877773508429527,0.011508830823004246,0.008458884432911873,0.05771828070282936,0.016955915838479996,0.0110093392431736,0.07335793226957321,0.021961841732263565,0.012921481393277645,0.08515627682209015,0.0258087869733572,0.014323306269943714,0.09457468241453171,0.028523320332169533,0.015260609798133373,0.10114627331495285,0.03028040938079357,0.015796229243278503,0.1049191802740097,0.031224334612488747,0.016074448823928833,0.10832379013299942,0.03145827725529671,0.01634199358522892,0.11209540069103241,0.031555403023958206,0.016596917062997818,0.11526031047105789,0.03179778531193733,0.01699553057551384,0.11882665008306503,0.032834358513355255,0.017494095489382744,0.12235388904809952,0.03419800475239754
FRANCE,12,10,10,1H,14.287952899932861,0.013678628392517567,12.265663623809814,0.6576569080352783,0.014275855501182377,0.10145439114421606,0.02808109880425036,0.005291566718369722,0.0410180389881134,0.010853380896151066,0.008315112441778183,0.06089967116713524,0.016550898551940918,0.010958481580018997,0.07709644734859467,0.021779578179121017,0.01311502605676651,0.09071671962738037,0.025993045419454575,0.014745709486305714,0.10154101997613907,0.029018575325608253,0.015726255252957344,0.10927322506904602,0.030841242522001266,0.016235295683145523,0.11207499355077744,0.03174601495265961,0.01661941222846508,0.11748061329126358,0.0322154238820076,0.01692141219973564,0.12200230360031128,0.03262389078736305,0.017274679616093636,0.12490083277225494,0.03355289250612259,0.017764348536729813,0.12844383716583252,0.03503802418708801,0.018342966213822365,0.1320049911737442,0.03676021844148636
FRANCE,48,10,10,1H,14.264251232147217,0.012928810335982305,12.241087198257446,0.6536550521850586,0.013382029680845639,0.09482272062450647,0.026110844143355887,0.005166236776858568,0.03961078077554703,0.010937185026705265,0.007938765920698643,0.05688745155930519,0.01624581217765808,0.010409781709313393,0.0727284699678421,0.02083553932607174,0.012244819663465023,0.08430999517440796,0.024084188044071198,0.013552368618547916,0.09415339678525925,0.026249874383211136,0.014440507628023624,0.10179802775382996,0.0277149248868227,0.015029617585241795,0.1057809367775917,0.02871493250131607,0.015447419136762619,0.10881447792053223,0.029468180611729622,0.015816224738955498,0.11267872899770737,0.03020559810101986,0.016294922679662704,0.1172843873500824,0.0313107892870903,0.016825493425130844,0.12047704309225082,0.03284655138850212,0.01741819828748703,0.12334895133972168,0.03471655398607254
FRANCE,96,10,10,1H,14.693642616271973,0.013552739650297624,12.591161251068115,0.727449893951416,0.014149490899095932,0.10004140840222438,0.028907543591534097,0.0055456021800637245,0.046176258474588394,0.011191575787961483,0.008487123996019363,0.06447778642177582,0.017160048708319664,0.010992775671184063,0.07923797518014908,0.022291895002126694,0.012972136959433556,0.09168257564306259,0.02643059939146042,0.014415583573281765,0.10016164183616638,0.029413850978016853,0.015372435562312603,0.10627148300409317,0.03140020743012428,0.016040172427892685,0.11168871074914932,0.03263511136174202,0.01640711911022663,0.11326481401920319,0.03346053138375282,0.016734670847654343,0.11605823785066605,0.03416882082819939,0.017063714563846588,0.11899711191654205,0.035003662109375,0.017568953335285187,0.12351762503385544,0.03620785102248192,0.018193602561950684,0.1289626806974411,0.03752636909484863
