dataset,seq_length,num_nodes,num_features,time_interval,total_time_hours,valid_loss,test_mae,test_mape,test_rmse
FRANCE,6,10,10,1H,0.0041744907034768,0.013520415191753553,0.013903761398978531,0.09437586677571137,0.02734227237912516
FRANCE,12,10,10,1H,0.003968875805536906,0.013678628392517567,0.014275855501182377,0.10145439114421606,0.02808109880425036
FRANCE,48,10,10,1H,0.003962292008929782,0.012928810335982305,0.013382029680845639,0.09482272062450647,0.026110844143355887
FRANCE,96,10,10,1H,0.004081567393408881,0.013552739650297624,0.014149490899095932,0.10004140840222438,0.028907543591534097
