seq_length,total_time_hours,valid_loss,test_mae,test_mape,test_rmse
6,0.02736779146724277,0.01195500128600396,0.01312353031244129,0.042307497933506966,0.028713634858528774
12,0.026644571357303196,0.011652920266431032,0.012813081576799354,0.0414275856067737,0.028181058975557487
48,0.025388772288958233,0.011716133650327941,0.012908121881385645,0.04120470071211457,0.02844903020498653
96,0.02761254502667321,0.011829482436165814,0.013004527698891858,0.04216164986913403,0.028531083759541314
