193,2823,2025,274,4426,4555,57633,0,284,1314
193,2515,1577,274,4229,3732,57945,0,281,1383
193,2452,1416,273,4007,3046,57652,0,281,1464
193,2345,1132,274,3787,1726,57583,0,282,1543
193,2344,770,276,3654,810,57551,0,281,1579
193,2340,861,277,3594,1090,57465,0,277,1482
193,2318,1067,277,3416,1269,57683,0,279,1387
194,2357,1083,276,3283,1086,57384,0,278,1583
198,2385,965,277,3472,916,56839,59,275,1814
205,2382,984,279,3681,803,57017,385,274,1936
205,2364,1091,278,3798,819,57458,1053,276,1927
204,2355,1052,278,3889,1095,57479,1635,278,1846
204,2352,1052,275,4007,1699,57840,1883,277,1768
204,2343,1008,273,3718,960,57501,1857,274,1715
204,2330,998,274,3483,610,57133,1516,278,1693
204,2324,1038,276,3418,598,57388,911,277,1697
205,2319,1093,276,3378,660,57643,300,278,1938
205,2350,1176,275,3678,3006,58011,39,279,2301
205,2363,1162,274,4530,5744,58080,0,278,2672
205,2358,1233,274,4926,6382,58246,0,279,3017
205,2397,1202,274,4817,5380,58257,0,281,3289
205,2591,1165,275,4830,3513,58192,0,279,3496
205,2735,1175,274,4764,4193,58194,0,279,3619
205,2748,943,273,4395,3041,58077,0,282,3887
205,2570,971,274,3685,1773,58012,0,282,3971
205,2357,1001,274,3178,1172,57865,0,282,4022
205,2342,992,274,2836,903,57838,0,282,4034
204,2342,750,274,2792,533,57416,0,282,4223
205,2340,699,274,2799,430,57040,0,282,4433
205,2342,736,275,2865,350,57368,0,283,4504
203,2290,1147,275,3023,716,58084,0,280,4490
203,2321,1575,273,3200,1452,58080,0,278,4425
201,2570,1784,276,3667,3013,58041,57,279,4247
200,2594,1945,276,4224,3975,58459,331,275,3843
201,2596,2276,274,4554,4344,58590,842,276,3518
204,2612,2433,276,4880,4563,58589,1271,271,3270
205,2603,2427,275,4941,5375,58605,1397,268,3083
205,2601,2345,274,4577,3989,58552,1360,275,2771
205,2602,2339,285,4035,3223,58509,1119,275,2381
204,2595,2333,285,3987,3120,57740,639,279,2162
204,2671,2272,284,4314,3249,57630,203,276,1877
202,2825,2336,283,4884,5212,58070,36,276,1692
202,3059,2336,285,5462,6932,58487,0,277,1605
202,3060,2240,285,5481,7094,58593,0,283,1488
202,3029,2255,274,5194,5479,58620,0,282,1367
202,3021,2136,275,4821,3591,58621,0,281,1192
202,3086,2009,275,4831,3930,58623,0,282,1088
202,3099,1977,275,4558,4450,58525,0,284,1038
202,2673,1538,275,4492,2422,58133,0,285,1168
202,2297,1086,274,4042,1601,58167,0,285,1278
202,2290,1040,274,3723,1239,57894,0,285,1376
202,2299,850,274,3345,831,56997,0,285,1606
202,2312,801,275,3075,617,56636,0,285,1905
202,2291,809,275,3007,673,56850,0,284,2182
202,2283,905,275,3103,783,57229,0,282,2344
202,2302,908,274,3335,882,57056,0,282,2744
201,2291,973,274,3831,1145,57674,52,280,3217
202,2250,1174,274,4327,1505,57905,275,278,3846
202,2235,1413,275,4651,1674,58014,693,278,4216
202,2223,1585,275,4675,2233,57944,1025,281,4683
201,2201,1723,274,4707,2361,57871,1183,283,5302
200,2201,1768,275,4318,1939,57183,1204,284,5822
199,2188,1535,275,3846,1601,56541,991,284,6246
199,2189,1628,276,3452,1092,56379,600,282,6630
199,2186,1766,275,3566,939,56028,209,285,6730
199,2208,1937,275,4072,1852,56794,38,282,6649
199,2244,1945,274,4922,3395,57091,0,284,6362
199,2254,1793,276,4955,3060,57082,0,285,5858
199,2251,1570,275,4582,1781,56861,0,286,4972
199,2270,1588,275,4437,1072,56897,0,286,4106
199,2233,1707,276,4676,1511,56782,0,284,3385
199,2239,1781,275,4381,1414,56564,0,284,2742
